Bowler,Wickets,Runs_Given,Deliveries,Economy,Matches
DJ Muthuswami,4,108,84,7.71,6
D du Preez,4,56,43,7.81,2
Arjun Tendulkar,4,117,83,8.46,5
Y Nagar,4,125,72,10.42,8
T Stubbs,4,29,25,6.96,3
WA Mota,4,98,75,7.84,7
Parvez Rasool,4,273,200,8.19,11
DP Vijaykumar,4,205,159,7.74,9
SM Boland,3,56,43,7.81,2
JW Hastings,3,66,61,6.49,3
DJ Thornely,3,40,44,5.45,4
GHS Garton,3,136,97,8.41,5
AL Menaria,3,144,113,7.65,12
Gagandeep Singh,3,142,84,10.14,4
DAJ Bracewell,3,32,25,7.68,1
RJ Peterson,3,70,48,8.75,4
RN ten Doeschate,3,94,83,6.8,10
RS Hangargekar,3,60,43,8.37,2
JM Kemp,3,58,47,7.4,5
T Shamsi,3,185,120,9.25,5
SM Harwood,3,74,67,6.63,3
Sikandar Raza,3,146,88,9.95,7
JJ van der Wath,3,134,76,10.58,3
A Uniyal,3,67,38,10.58,2
VR Iyer,3,145,84,10.36,9
Sachin Baby,3,8,10,4.8,2
JA Richardson,3,162,94,10.34,4
K Santokie,3,91,51,10.71,2
MJ Henry,3,183,105,10.46,6
TM Head,3,113,58,11.69,6
MJ Clarke,3,72,66,6.55,5
P Sahu,3,152,107,8.52,5
R Ninan,3,65,36,10.83,2
Mohammad Hafeez,2,71,63,6.76,4
AK Markram,2,173,123,8.44,14
A Badoni,2,37,25,8.88,5
A Flintoff,2,106,66,9.64,3
Shoaib Malik,2,87,58,9.0,5
A Kamboj,2,115,68,10.15,3
LJ Wright,2,125,75,10.0,6
SD Chitnis,2,62,38,9.79,2
V Kaverappa,2,36,24,9.0,1
SC Kuggeleijn,2,71,50,8.52,2
AU Rashid,2,91,60,9.1,3
B Geeves,2,91,49,11.14,2
JPR Scantlebury-Searles,2,89,45,11.87,3
Abdul Samad,2,113,55,12.33,5
WG Jacks,2,100,55,10.91,5
MA Khote,2,52,30,10.4,2
GD Phillips,2,40,31,7.74,4
D Kalyankrishna,2,88,50,10.56,3
MK Lomror,2,127,94,8.11,11
PH Solanki,2,39,36,6.5,2
KA Maharaj,2,39,36,6.5,2
P Suyal,2,154,107,8.64,5
FA Allen,2,136,91,8.97,4
DNT Zoysa,2,100,69,8.7,3
ND Doshi,2,79,57,8.32,4
C Nanda,2,58,50,6.96,3
KJ Abbott,2,182,102,10.71,5
Mayank Dagar,2,205,138,8.91,8
K Yadav,2,85,54,9.44,3
M Siddharth,1,72,58,7.45,3
GS Sandhu,1,86,48,10.75,2
A Nel,1,31,18,10.33,1
LMP Simmons,1,34,18,11.33,1
L Wood,1,94,38,14.84,2
AA Noffke,1,41,25,9.84,1
AA Kazi,1,21,13,9.69,1
AJ Hosein,1,41,24,10.25,1
GH Vihari,1,48,43,6.7,6
